BTC TOP 10000 Holders Snapshot (10th August);ETH TOP 10000 Holders Snapshot (10th August);BNB TOP 10000 Holders Snapshot (10th August);Kaspa Dead wallets (Last 21 characters of biggest BTC+ETH+BNB Addresses merged + lowercase);Reiceived amout
bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wr;0xb93d8596ac840816bd366dc0561e8140afd0d1cb;0x47cdb61e41b7806ab23b5d4c1296aacc11cad489;kaspa:942wx5tauw5n7uw92r7wr66dc0561e8140afd0d1cbb5d4c1296aacc11cad489;19.260.416,00
bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40;0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f;0x67492f474b06deab70bdd94cc7f66fef02ccd50c;kaspa:qu0y4p3vj64hg5mc94c40415c75aecd68c21fe3d7fdd94cc7f66fef02ccd50c;19.260.416,00
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l;0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6;0x0dcd7180fa216ee32873a4672254f6355827fac0;kaspa:m028hkrvxcl4t2sjtpd9l318b14eeb92df0fb168d63a4672254f6355827fac0;19.260.416,00
34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP;0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9;0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96;kaspa:gfmcq2bghjf1dznznbebp09c325f47678e37f096d9e2c58cd813ee9d1a08d96;19.260.416,00
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG;0x15c22df3e71e7380012668fb837c537d0f8b38a1;0x3136ed252d6ec340c7d2fb1285c15add1fd4e0fa;kaspa:5hwwvpejwmngwhsbsiecg668fb837c537d0f8b38a12fb1285c15add1fd4e0fa;19.260.416,00
bc1qmvs6dyualkpjsr7hxdkncnu38udeh035vuetqp;0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1;0x6ec070c6af6e2b3cfd1c625bc2888bbc7d9eabe6;kaspa:dkncnu38udeh035vuetqpb89c9470be368ee9cb6f1c625bc2888bbc7d9eabe6;19.260.416,00
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN;0xd5268a476aadd1a6729df5b3e5e8f2c1004139af;0xd7a2d4ba21abac4e4d8569f572975ddd139067fc;kaspa:i15g3j2gp9deb9lnlfpmndf5b3e5e8f2c1004139af569f572975ddd139067fc;19.260.416,00
1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8;0x835678a611b28684005a5e2233695fb6cbbb0007;0xa3f20731a621e4adcebf5e67ad7a6bdd256c21d8;kaspa:xtb8mhoz6armne9phgza8a5e2233695fb6cbbb0007f5e67ad7a6bdd256c21d8;19.260.416,00
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h;0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b;0x19480607194ff38bff28d3314f5852ab4d5e7a91;kaspa:69zkqmk6ee3ewf0j77s3h1dd4e5c46a19b50fec00b8d3314f5852ab4d5e7a91;19.260.416,00
bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf26ufn;0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62;0xcd3f68a23323d64c57cd9d9d23a8193077dfec66;kaspa:mt6sjx2sr098d8qf26ufnc3c094bd4779bab0d4c62d9d9d23a8193077dfec66;19.260.416,00
3HcEUguUZ4vyyMAPWDPUDjLqz882jXwMfV;0x595faf77e533a5cd30ab5859c9a0116de8bad8db;0x21d45650db732ce5df77685d6021d7d5d1da807f;kaspa:mapwdpudjlqz882jxwmfvb5859c9a0116de8bad8db7685d6021d7d5d1da807f;19.260.416,00
1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj;0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce;0x0ecc16d3fa38e1a59c10e44cda4e2e9d9941275a;kaspa:byi2yvxcdg92tjz7ecwyj34a8a4d25b08acd9266ce0e44cda4e2e9d9941275a;19.260.416,00
